State,FTE
Alabama,0.0
Alaska,0.029
Arizona,0.326
Arkansas,0.0
California,1.0
Colorado,0.989
Connecticut,0.998
Delaware,0.997
District Of Columbia,1.0
Florida,0.105
Georgia,0.405
Hawaii,1.0
Idaho,0.0
Illinois,0.996
Indiana,0.002
Iowa,0.07
Kansas,0.002
Kentucky,0.0
Louisiana,0.001
Maine,0.957
Maine 1,0.999
Maine 2,0.097
Maryland,1.0
Massachusetts,1.0
Michigan,0.605
Minnesota,0.879
Mississippi,0.0
Missouri,0.006
Montana,0.001
Nebraska,0.001
Nebraska 1,0.002
Nebraska 2,0.92
Nebraska 3,0.0
Nevada,0.503
New Hampshire,0.889
New Jersey,0.993
New Mexico,0.929
New York,0.998
North Carolina,0.406
North Dakota,0.0
Ohio,0.048
Oklahoma,0.0
Oregon,0.991
Pennsylvania,0.504
Rhode Island,0.997
South Carolina,0.01
South Dakota,0.0
Tennessee,0.0
Texas,0.068
Utah,0.0
Vermont,1.0
Virginia,0.918
Washington,0.998
West Virginia,0.0
Wisconsin,0.592
Wyoming,0.0
Electoral College,0.503
