State,RWH
Alabama,0.0
Alaska,0.10099999999999999
Arizona,0.365
Arkansas,0.0
California,1.0
Colorado,0.9940000000000001
Connecticut,1.0
Delaware,1.0
District Of Columbia,1.0
Florida,0.12300000000000001
Georgia,0.46799999999999997
Hawaii,1.0
Idaho,0.0
Illinois,1.0
Indiana,0.0
Iowa,0.35700000000000004
Kansas,0.015
Kentucky,0.0
Louisiana,0.002
Maine,0.978
Maryland,1.0
Massachusetts,1.0
Michigan,0.672
Minnesota,0.9309999999999999
Mississippi,0.003
Missouri,0.0
Montana,0.0
Nebraska,0.0
Nevada,0.547
New Hampshire,0.897
New Jersey,1.0
New Mexico,0.9390000000000001
New York,1.0
North Carolina,0.45799999999999996
North Dakota,0.0
Ohio,0.068
Oklahoma,0.0
Oregon,0.997
Pennsylvania,0.565
Rhode Island,0.996
South Carolina,0.009000000000000001
South Dakota,0.0
Tennessee,0.0
Texas,0.095
Utah,0.001
Vermont,1.0
Virginia,0.919
Washington,1.0
West Virginia,0.0
Wisconsin,0.639
Wyoming,0.0
